Fri Jun 11 23:24:16 BRT 2021 - Log - Iniciou a aplicacao1

Mon Jun 14 04:16:38 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:16:43 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:16:47 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:16:51 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:16:55 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:16:56 BRT 2021 - Log - Fechou a aplicação
Mon Jun 14 04:18:00 BRT 2021 - Log - Iniciou a aplicacao
Mon Jun 14 04:19:12 BRT 2021 - Log - Login realizado com sucesso
Mon Jun 14 04:19:23 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:19:27 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:19:31 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:19:36 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:19:40 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:19:44 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:19:49 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:19:53 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:19:57 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:20:01 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:20:06 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:20:10 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:20:14 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:20:18 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:20:22 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:20:26 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:20:30 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:20:34 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:20:38 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:20:42 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:20:46 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:20:50 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:20:53 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:20:57 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:21:02 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:21:06 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:21:10 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:21:14 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:21:18 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:21:22 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:21:27 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:21:31 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:21:34 BRT 2021 - Log - Fechou a aplicação
Mon Jun 14 04:21:43 BRT 2021 - Log - Iniciou a aplicacao
Mon Jun 14 04:22:21 BRT 2021 - Log - Login realizado com sucesso
Mon Jun 14 04:22:32 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:22:36 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:22:40 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:22:45 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:22:48 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:22:53 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:22:57 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:23:01 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:23:05 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:23:08 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:23:12 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:23:17 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:23:21 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:23:25 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:23:29 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:23:33 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:23:36 BRT 2021 - Log - Inseriu os dados da CPU
Mon Jun 14 04:23:41 BRT 2021 - Log - Inseriu os dados da CPU
